Year,Country,Region,Rank,Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Latitude,Longitude,Size,Continent
2021,Jamaica,Latin America and Caribbean,37.0,6.309,0.891,0.932,0.599,0.618,0.035,0.099,3.135,18.109581,-77.297508,14,South America
2021,Lithuania,Central and Eastern Europe,38.0,6.255,1.35,1.065,0.612,0.476,0.073,0.056,2.624,55.169438,23.881275,14,Europe
2021,Cyprus,Western Europe,39.0,6.223,1.377,0.765,0.801,0.464,0.061,0.178,2.578,35.126413,33.429859,14,Europe
2021,Estonia,Central and Eastern Europe,40.0,6.189,1.344,1.079,0.64,0.641,0.263,0.119,2.103,58.595272,25.013607,14,Europe
2021,Panama,Latin America and Caribbean,41.0,6.18,1.298,0.976,0.667,0.596,0.053,0.079,2.509,8.537981,-80.782127,11,South America
2021,Uzbekistan,Central and Eastern Europe,42.0,6.179,0.769,1.027,0.528,0.716,0.271,0.391,2.477,41.377491,64.585262,11,Europe
2021,Chile,Latin America and Caribbean,43.0,6.172,1.2,0.946,0.678,0.438,0.07,0.159,2.682,-35.675147,-71.542969,11,South America
2021,Poland,Central and Eastern Europe,44.0,6.166,1.309,0.982,0.668,0.558,0.13,0.08,2.438,51.919438,19.145136,11,Europe
2021,Kazakhstan,Central and Eastern Europe,45.0,6.152,1.23,1.103,0.527,0.573,0.132,0.143,2.446,48.019573,66.923684,11,Europe
2021,Romania,Central and Eastern Europe,46.0,6.14,1.275,0.832,0.595,0.564,0.001,0.045,2.83,45.943161,24.96676,11,Europe
2021,Kuwait,Middle East and Northern Africa,47.0,6.106,1.461,0.857,0.58,0.591,0.13,0.12,2.368,29.31166,47.481766,11,Africa
2021,Serbia,Central and Eastern Europe,48.0,6.078,1.101,0.924,0.634,0.482,0.066,0.189,2.682,44.016521,21.005859,11,Europe
2021,El Salvador,Latin America and Caribbean,49.0,6.061,0.845,0.675,0.565,0.615,0.16,0.116,3.085,13.794185,-88.89653,11,South America
2021,Mauritius,Sub-Saharan Africa,50.0,6.049,1.178,0.996,0.574,0.59,0.096,0.153,2.462,-20.348404,57.552152,11,Africa
2021,Latvia,Central and Eastern Europe,51.0,6.032,1.285,1.047,0.587,0.405,0.089,0.082,2.536,56.879635,24.603189,11,Europe
2021,Colombia,Latin America and Caribbean,52.0,6.012,1.021,0.866,0.615,0.554,0.063,0.1,2.794,4.570868,-74.297333,11,South America
2021,Hungary,Central and Eastern Europe,53.0,5.992,1.301,1.083,0.615,0.454,0.04,0.067,2.432,47.162494,19.503304,11,Europe
2021,Thailand,Southeastern Asia,54.0,5.985,1.107,0.957,0.596,0.611,0.028,0.375,2.309,15.870032,100.992541,11,Asia
2021,Nicaragua,Latin America and Caribbean,55.0,5.972,0.693,0.904,0.604,0.553,0.176,0.201,2.841,12.865416,-85.207229,11,South America
2021,Japan,Eastern Asia,56.0,5.94,1.389,0.949,0.838,0.504,0.192,0.02,2.048,36.204824,138.252924,11,Asia
2021,Argentina,Latin America and Caribbean,57.5,5.929,1.162,0.98,0.646,0.544,0.067,0.069,2.461,-38.416097,-63.616672,11,South America
2021,Portugal,Western Europe,57.5,5.929,1.323,0.939,0.76,0.621,0.033,0.029,2.225,39.399872,-8.224454,11,Europe
2021,Honduras,Latin America and Caribbean,59.0,5.919,0.703,0.787,0.593,0.578,0.083,0.241,2.934,15.199999,-86.241905,11,South America
2021,Croatia,Central and Eastern Europe,60.0,5.882,1.251,1.039,0.703,0.453,0.0,0.111,2.325,45.1,15.2,11,Europe
2021,Philippines,Southeastern Asia,61.0,5.88,0.853,0.828,0.426,0.651,0.126,0.125,2.872,12.879721,121.774017,10,Asia
2021,South Korea,Eastern Asia,62.0,5.845,1.403,0.758,0.801,0.353,0.135,0.134,2.262,35.907757,127.766922,10,Asia
2021,Peru,Latin America and Caribbean,63.0,5.84,0.986,0.833,0.623,0.536,0.031,0.087,2.744,-9.189967,-75.015152,10,South America
2021,Bosnia and Herzegovina,Central and Eastern Europe,64.0,5.813,1.032,0.919,0.618,0.395,0.005,0.261,2.583,43.915886,17.679076,10,Europe
2021,Moldova,Central and Eastern Europe,65.0,5.766,0.985,0.888,0.542,0.536,0.013,0.137,2.665,47.411631,28.369885,10,Europe
2021,Ecuador,Latin America and Caribbean,66.0,5.764,0.935,0.806,0.64,0.56,0.062,0.107,2.653,-1.831239,-78.183406,10,South America
2021,Kyrgyzstan,Central and Eastern Europe,67.0,5.744,0.665,0.971,0.501,0.673,0.02,0.266,2.648,41.20438,74.766098,10,Europe
2021,Greece,Western Europe,68.0,5.723,1.273,0.811,0.76,0.243,0.074,0.0,2.561,39.074208,21.824312,10,Europe
2021,Bolivia,Latin America and Caribbean,69.0,5.716,0.842,0.782,0.486,0.6,0.064,0.138,2.805,-16.290154,-63.588653,10,South America
2021,Mongolia,Eastern Asia,70.0,5.677,0.966,1.065,0.442,0.397,0.053,0.263,2.492,46.862496,103.846656,10,Asia
2021,Paraguay,Latin America and Caribbean,71.0,5.653,0.983,0.97,0.549,0.602,0.037,0.206,2.306,-23.442503,-58.443832,10,South America
2021,Montenegro,Central and Eastern Europe,72.0,5.581,1.155,0.891,0.637,0.397,0.081,0.166,2.254,42.708678,19.37439,10,Europe
2021,Dominican Republic,Latin America and Caribbean,73.0,5.545,1.106,0.879,0.555,0.581,0.144,0.101,2.178,18.735693,-70.162651,10,South America
2021,North Cyprus,Western Europe,74.0,5.536,1.377,0.806,0.801,0.503,0.2,0.196,1.653,35.248,33.6577,10,Europe
2021,Belarus,Central and Eastern Europe,75.0,5.534,1.124,1.007,0.56,0.326,0.199,0.07,2.247,53.709807,27.953389,10,Europe
2021,Russia,Central and Eastern Europe,76.5,5.477,1.241,0.992,0.511,0.409,0.06,0.115,2.148,61.52401,105.318756,10,Europe
2021,Hong Kong,Eastern Asia,76.5,5.477,1.525,0.841,0.893,0.408,0.342,0.232,1.236,22.396428,114.109497,10,Asia
2021,Tajikistan,Central and Eastern Europe,78.0,5.466,0.508,0.895,0.498,0.548,0.247,0.152,2.619,38.861034,71.276093,10,Europe
2021,Vietnam,Southeastern Asia,79.0,5.411,0.817,0.873,0.616,0.679,0.091,0.124,2.211,14.058324,108.277199,10,Asia
2021,Libya,Middle East and Northern Africa,80.0,5.41,1.044,0.821,0.435,0.474,0.174,0.131,2.331,26.3351,17.228331,10,Africa
2021,Malaysia,Southeastern Asia,81.0,5.384,1.259,0.797,0.587,0.624,0.064,0.27,1.784,4.210484,101.975766,9,Asia
2021,Indonesia,Southeastern Asia,82.0,5.345,0.954,0.786,0.433,0.598,0.046,0.541,1.987,-0.789275,113.921327,9,Asia
2021,Congo (Brazzaville),Sub-Saharan Africa,83.0,5.342,0.518,0.392,0.307,0.381,0.124,0.144,3.476,-4.038333,21.758664,9,Africa
2021,China,Eastern Asia,84.0,5.339,1.061,0.785,0.665,0.636,0.117,0.093,1.982,35.86166,104.195397,9,Asia
2021,Ivory Coast,Sub-Saharan Africa,85.0,5.306,0.669,0.409,0.052,0.438,0.092,0.177,3.469,7.539989,-5.54708,9,Africa
2021,Armenia,Central and Eastern Europe,86.0,5.283,0.996,0.758,0.585,0.54,0.198,0.079,2.127,40.069099,45.038189,9,Europe
